AnimalID,Brand,SiteName,Beach,Year,Month,Day,Sex,AdjustedSex,Age,Mass_kg,StandardLength_cm,AxillaryGirth_cm,FlipperLength_cm,Brand_lead,date,Region
15740,>74,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,41.00,109.0,86.0,NA,>,2015-06-26,C ALEU
15741,>75,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,42.80,111.0,91.0,NA,>,2015-06-26,C ALEU
15742,>76,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,40.80,114.0,83.0,NA,>,2015-06-26,C ALEU
15743,>77,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,41.80,117.0,84.0,NA,>,2015-06-26,C ALEU
15744,>78,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,29.40,106.0,73.0,NA,>,2015-06-26,C ALEU
15745,>79,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,31.80,104.0,72.0,NA,>,2015-06-26,C ALEU
15746,>80,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,30.40,107.0,73.0,NA,>,2015-06-26,C ALEU
15747,>81,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,36.40,105.0,78.0,NA,>,2015-06-26,C ALEU
15748,>82,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,23.80,98.0,68.0,NA,>,2015-06-26,C ALEU
15749,>83,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,37.20,112.0,76.0,NA,>,2015-06-26,C ALEU
15750,>84,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,29.20,102.0,69.0,NA,>,2015-06-26,C ALEU
15751,>85,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,25.60,103.0,66.0,NA,>,2015-06-26,C ALEU
15752,>86,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,36.80,110.0,78.0,NA,>,2015-06-26,C ALEU
15753,>87,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,35.80,112.0,78.0,NA,>,2015-06-26,C ALEU
15754,>88,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,30.80,102.0,73.0,NA,>,2015-06-26,C ALEU
15755,>89,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,30.60,104.0,76.0,NA,>,2015-06-26,C ALEU
15756,>90,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,35.20,109.0,80.0,NA,>,2015-06-26,C ALEU
15757,>91,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,32.60,105.0,74.0,NA,>,2015-06-26,C ALEU
